"MarkdownFile","ObsoleteRef","NewRef"
"D:\2025-Epita-Intelligence-Symbolique-4\docs\index.md","../tests/README_TESTS_UNITAIRES.md","tests/README_TESTS_UNITAIRES.md"
"D:\2025-Epita-Intelligence-Symbolique-4\docs\index.md","../tests/README_INTEGRATION_TESTS.md","tests/README_INTEGRATION_TESTS.md"
"D:\2025-Epita-Intelligence-Symbolique-4\docs\index.md","../tests/README_FUNCTIONAL_TESTS.md","tests/README_FUNCTIONAL_TESTS.md"
"D:\2025-Epita-Intelligence-Symbolique-4\docs\README_PROJETS_ETUDIANTS.md","../tests/integration/test_logic_agents_integration.py","tests/integration/test_logic_agents_integration.py"
"D:\2025-Epita-Intelligence-Symbolique-4\docs\guides\guide_utilisation.md","../tests/integration/test_logic_agents_integration.py","../tests/integration/test_logic_agents_integration.py"
"D:\2025-Epita-Intelligence-Symbolique-4\docs\guides\utilisation_agents_logiques.md","../tests/integration/test_logic_agents_integration.py","../tests/integration/test_logic_agents_integration.py"
"D:\2025-Epita-Intelligence-Symbolique-4\docs\guides\guide_utilisation.md","../tests/integration/test_logic_agents_integration.py","../tests/integration/test_logic_agents_integration.py"
"D:\2025-Epita-Intelligence-Symbolique-4\docs\guides\utilisation_agents_logiques.md","../tests/integration/test_logic_agents_integration.py","../tests/integration/test_logic_agents_integration.py"
"D:\2025-Epita-Intelligence-Symbolique-4\docs\guides\guide_utilisation.md","../tests/integration/test_logic_agents_integration.py","../tests/integration/test_logic_agents_integration.py"
"D:\2025-Epita-Intelligence-Symbolique-4\docs\guides\utilisation_agents_logiques.md","../tests/integration/test_logic_agents_integration.py","../tests/integration/test_logic_agents_integration.py"
"D:\2025-Epita-Intelligence-Symbolique-4\docs\solution_problemes_environnement.md","argumentation_analysis/tests/test_async_communication_fixed.py","tests/unit/argumentation_analysis/test_async_communication_fixed.py"
"D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md","argumentation_analysis/tests/test_crypto_service.py","../tests/unit/argumentation_analysis/test_crypto_service.py"
"D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot5_completion_report.md","../../tests/integration/test_agents_tools_integration.py","../tests/integration/test_agents_tools_integration.py"
"D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot5_completion_report.md","../../tests/functional/test_agent_collaboration_workflow.py","../tests/functional/test_agent_collaboration_workflow.py"
"D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot5_completion_report.md","../../tests/functional/test_fallacy_detection_workflow.py","../tests/functional/test_fallacy_detection_workflow.py"
"D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot5_completion_report.md","../../tests/functional/test_python_analysis_workflow_components.py","../tests/functional/test_python_analysis_workflow_components.py"
"D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot5_completion_report.md","../../tests/functional/test_rhetorical_analysis_workflow.py","../tests/functional/test_rhetorical_analysis_workflow.py"
"D:\2025-Epita-Intelligence-Symbolique-4\docs\guides\exemples_logique_propositionnelle.md","../../tests/integration/jpype_tweety/test_logic_operations.py","../tests/integration/jpype_tweety/test_logic_operations.py"
"D:\2025-Epita-Intelligence-Symbolique-4\docs\guides\guide_utilisation.md","../../tests/integration/test_logic_agents_integration.py","../tests/integration/test_logic_agents_integration.py"
"D:\2025-Epita-Intelligence-Symbolique-4\docs\guides\utilisation_agents_logiques.md","../../tests/integration/test_logic_agents_integration.py","../tests/integration/test_logic_agents_integration.py"
"D:\2025-Epita-Intelligence-Symbolique-4\docs\reports\etat_depot_couverture_tests.md","argumentation_analysis/tests/test_async_communication_timeout_fix.py","../tests/unit/argumentation_analysis/test_async_communication_timeout_fix.py"
"D:\2025-Epita-Intelligence-Symbolique-4\docs\reports\etat_depot_couverture_tests.md","argumentation_analysis/tests/test_mock_communication.py","../tests/unit/argumentation_analysis/test_mock_communication.py"
"D:\2025-Epita-Intelligence-Symbolique-4\libs\README.md","../argumentation_analysis/tests/test_jvm_example.py","tests/unit/argumentation_analysis/test_jvm_example.py"
